ScoreJS,TypeJS,ScoreSE,TypeSE,ScoreSOP,TypeSOP,pAverage,mutationNumber,conservation,species,fcm/faa
0.6815787766,JS divergence average,0.5866341622,Shannon entropy average,2.48544375,Sum of Pairs Average,0.06905003,3,0,6,0
0.6559131544,JS divergence average,0.5051634631,Shannon entropy average,1.7625321611,Sum of Pairs Average,2.92330453333333E-006,32,0.53125,6,0.1574074074
0.7128508485,JS divergence average,0.57702,Shannon entropy average,2.4719195,Sum of Pairs Average,0.010969372,4,0.75,5,0.0172413793
0.7158540462,JS divergence average,0.6033380058,Shannon entropy average,2.6425704335,Sum of Pairs Average,0.007242575,17,0.5882352941,5,0.0826446281
0.7118579635,JS divergence average,0.6252174012,Shannon entropy average,3.0523382523,Sum of Pairs Average,0.0101876373,4,0.5,5,0.0090497738
0.6539007653,JS divergence average,0.4848392092,Shannon entropy average,1.7858727296,Sum of Pairs Average,0.0734867033,23,0.0869565217,6,0.0512820513
0.6932043729,JS divergence average,0.5043002926,Shannon entropy average,2.5800610452,Sum of Pairs Average,0.0039281323,18,0.3888888889,3,0.0188679245
0.655380539,JS divergence average,0.498311207,Shannon entropy average,2.006833815,Sum of Pairs Average,0.3902604,7,0.14,6,0.01
0.6676834146,JS divergence average,0.5110822967,Shannon entropy average,1.949555752,Sum of Pairs Average,0.0375464667,6,0.3333333333,6,0.0217391304
0.6579289139,JS divergence average,0.5128025,Shannon entropy average,1.7784531148,Sum of Pairs Average,0.031260257,9,0.5555555556,6,0.0625
0.679233125,JS divergence average,0.5686871394,Shannon entropy average,2.30864,Sum of Pairs Average,0.08329811,5,0,6,0
0.6710556393,JS divergence average,0.5470828767,Shannon entropy average,1.9494949315,Sum of Pairs Average,0.1489467667,5,0.2,6,0.0111111111
0.6576067456,JS divergence average,0.505363215,Shannon entropy average,1.9624507101,Sum of Pairs Average,0.2154667,5,0,6,0
0.664874943,JS divergence average,0.5357635932,Shannon entropy average,1.671706407,Sum of Pairs Average,0.0082101755,6,0.6666666667,6,0.0373831776
0.636931505,JS divergence average,0.462504401,Shannon entropy average,1.789029709,Sum of Pairs Average,0.1460382457,4,0.25,6,0.0137
0.6958701309,JS divergence average,0.5528978796,Shannon entropy average,2.509135785,Sum of Pairs Average,0.008776155,45,0.6444,3,0.1074
0.74087628,JS divergence average,0.575222303,Shannon entropy average,2.024089008,Sum of Pairs Average,0.024140028,15,0.2667,5,0.0494
0.77859776,JS divergence average,0.679322829,Shannon entropy average,3.56414332,Sum of Pairs Average,0.0792730918,8,0.5,4,0.0344827586
0.658345741,JS divergence average,0.456526098,Shannon entropy average,1.860469024,Sum of Pairs Average,0.0686559727,15,0.4,5,0.0271
0.7399072405,JS divergence average,0.5718926076,Shannon entropy average,2.860120962,Sum of Pairs Average,0.4327195806,4,0,5,0
0.736741577,JS divergence average,0.654709713,Shannon entropy average,3.074440466,Sum of Pairs Average,0.1297518607,9,0.4444,3,0.007
0.6495348,JS divergence average,0.4393899714,Shannon entropy average,1.5534442,Sum of Pairs Average,0.233337113,6,0.3333,4,0.0082
0.799075058,JS divergence average,0.779776986,Shannon entropy average,4.054522383,Sum of Pairs Average,0.0702922173,10,0.3,6,0.0136
0.726628226,JS divergence average,0.548283893,Shannon entropy average,2.451859345,Sum of Pairs Average,6.60860733333333E-007,75,0.3733,5,0.0776
0.60894402,JS divergence average,0.476499167,Shannon entropy average,2.032388347,Sum of Pairs Average,0.080655358,5,0.2,5,0.0111
0.65288344,JS divergence average,0.51883185,Shannon entropy average,2.292434491,Sum of Pairs Average,0.329587406,3,0,5,0
0.630266851,JS divergence average,0.43330917,Shannon entropy average,1.279469585,Sum of Pairs Average,0.2977425103,7,0,5,0
0.654610763,JS divergence average,0.471377972,Shannon entropy average,1.830403916,Sum of Pairs Average,0.217899345,9,0,3,0
0.708605126,JS divergence average,0.533648894,Shannon entropy average,2.474384497,Sum of Pairs Average,0.2080080803,3,0.6667,3,0.0049
0.698900153,JS divergence average,0.559832569,Shannon entropy average,2.565112416,Sum of Pairs Average,0.3272036647,9,0.1111,3,0.0053
