ScoreJS,TypeJS,ScoreSE,TypeSE,,ScoreSOP,TypeSOP,,mutationNumber,pAverage,conservationAverage,speciesNumber
0.681578777,JS divergence average,0.586634162,Shannon Entropy average,,2.48544375,Sum of Pairs Average,,3,0.06905003,1.251218896,6
0.655913154,JS divergence average,0.505163463,Shannon Entropy average,,1.762532161,Sum of Pairs Average,,32,2.9233E-06,0.97453626,6
0.712850848,JS divergence average,0.57702,Shannon Entropy average,,2.4719195,Sum of Pairs Average,,4,0.010969372,1.253930116,5
0.715854046,JS divergence average,0.603338006,Shannon Entropy average,,2.642570434,Sum of Pairs Average,,17,0.033693144,1.320587495,5
0.711857964,JS divergence average,0.625217401,Shannon Entropy average,,3.052338252,Sum of Pairs Average,,4,0.010187637,1.463137872,5
0.653900765,JS divergence average,0.484839209,Shannon Entropy average,,1.78587273,Sum of Pairs Average,,23,0.073486703,0.974870901,6
0.693204373,JS divergence average,0.504300293,Shannon Entropy average,,2.580061045,Sum of Pairs Average,,18,0.037746646,1.25918857,3
0.655380539,JS divergence average,0.498311207,Shannon Entropy average,,2.006833815,Sum of Pairs Average,,7,0.3902604,1.05350852,6
0.667683415,JS divergence average,0.511082297,Shannon Entropy average,,1.949555752,Sum of Pairs Average,,6,0.037546467,1.042773821,6
0.657928914,JS divergence average,0.5128025,Shannon Entropy average,,1.778453115,Sum of Pairs Average,,9,0.095233262,0.98306151,6
0.679233125,JS divergence average,0.568687139,Shannon Entropy average,,2.30864,Sum of Pairs Average,,5,0.090547817,1.185520088,6
0.671055639,JS divergence average,0.547082877,Shannon Entropy average,,1.949494932,Sum of Pairs Average,,5,0.148946767,1.055877816,6
0.657606746,JS divergence average,0.505363215,Shannon Entropy average,,1.96245071,Sum of Pairs Average,,5,0.165083423,1.04180689,6
0.664874943,JS divergence average,0.535763593,Shannon Entropy average,,1.671706407,Sum of Pairs Average,,6,0.04252609,0.957448314,6
0.636931505,JS divergence average,0.462504401,Shannon Entropy average,,1.789029709,Sum of Pairs Average,,4,0.128985482,0.962821872,6
0.695870131,JS divergence average,0.55289788,Shannon Entropy average,,2.509135785,Sum of Pairs Average,,3,0.023166358,1.273494412,6
0.74087628,JS divergence average,0.575222303,Shannon Entropy average,,2.024089008,Sum of Pairs Average,,7,0.133273613,1.180880205,6
0.77859776,JS divergence average,0.679322829,Shannon Entropy average,,3.56414332,Sum of Pairs Average,,45,0.082406728,1.674021303,3
0.658345741,JS divergence average,0.456526098,Shannon Entropy average,,1.860469024,Sum of Pairs Average,,15,0.045971052,0.991780288,5
0.739907241,JS divergence average,0.571892608,Shannon Entropy average,,2.860120962,Sum of Pairs Average,,5,0.2976328,0.409922101,6
0.736741577,JS divergence average,0.654709713,Shannon Entropy average,,3.074440466,Sum of Pairs Average,,8,0.079273092,1.39064027,4
0.6495348,JS divergence average,0.439389971,Shannon Entropy average,,1.5534442,Sum of Pairs Average,,15,0.207821265,1.488630585,5
0.799075058,JS divergence average,0.779776986,Shannon Entropy average,,4.054522383,Sum of Pairs Average,,4,0.282874536,0.880789657,5
0.726628226,JS divergence average,0.548283893,Shannon Entropy average,,2.451859345,Sum of Pairs Average,,9,0.180922359,1.877791476,3
0.60894402,JS divergence average,0.476499167,Shannon Entropy average,,2.032388347,Sum of Pairs Average,,6,0.233337113,1.242257155,4
0.65288344,JS divergence average,0.51883185,Shannon Entropy average,,2.292434491,Sum of Pairs Average,,10,0.133235435,1.039277178,6
0.630266851,JS divergence average,0.43330917,Shannon Entropy average,,1.279469585,Sum of Pairs Average,,75,0.012162581,1.154716594,5
0.654610763,JS divergence average,0.471377972,Shannon Entropy average,,1.830403916,Sum of Pairs Average,,10,0.039638908,1.030529039,6
0.708605126,JS divergence average,0.533648894,Shannon Entropy average,,2.474384497,Sum of Pairs Average,,3,0.135666983,0.985464217,5
0.698900153,JS divergence average,0.559832569,Shannon Entropy average,,2.565112416,Sum of Pairs Average,,7,0.164631103,1.161086322,6
0.677431821,JS divergence average,0.476421703,Shannon Entropy average,,1.646857943,Sum of Pairs Average,,6,0.329587406,1.274615046,5
0.693779073,JS divergence average,0.411248672,Shannon Entropy average,,2.0263313,Sum of Pairs Average,,9,0.29774251,0.933570489,5
0.795681853,JS divergence average,0.764075651,Shannon Entropy average,,3.874378392,Sum of Pairs Average,,9,0.148273566,1.043786348,3
0.72165731,JS divergence average,0.457797,Shannon Entropy average,,1.950288423,Sum of Pairs Average,,3,0.20800808,1.811378632,3
0.782577584,JS divergence average,0.696591489,Shannon Entropy average,,3.359852537,Sum of Pairs Average,,9,0.362878646,1.043247578,3
0.730067101,JS divergence average,0.561636463,Shannon Entropy average,,2.365462053,Sum of Pairs Average,,23,0.227202924,1.613007203,3
0.742247097,JS divergence average,0.648320376,Shannon Entropy average,,2.823663495,Sum of Pairs Average,,13,0.010480222,1.219055206,4
0.635056262,JS divergence average,0.440261233,Shannon Entropy average,,1.641603969,Sum of Pairs Average,,8,0.236280681,1.404743656,5
0.731644106,JS divergence average,0.633007977,Shannon Entropy average,,2.794523079,Sum of Pairs Average,,9,0.230141586,0.905640488,5
0.756549982,JS divergence average,0.564954737,Shannon Entropy average,,2.712752544,Sum of Pairs Average,,9,0.113877933,1.386391721,5
0.747175846,JS divergence average,0.602556657,Shannon Entropy average,,2.545600769,Sum of Pairs Average,,10,0.088052489,1.344752421,3
0.755042544,JS divergence average,0.648652155,Shannon Entropy average,,3.056917495,Sum of Pairs Average,,2,0.391968627,1.298444424,4
0.636523397,JS divergence average,0.429792357,Shannon Entropy average,,1.131771014,Sum of Pairs Average,,9,0.134334632,0.791455156,5
0.657586447,JS divergence average,0.530625768,Shannon Entropy average,,1.961443289,Sum of Pairs Average,,5,0.318982383,0.732695589,6
0.648934715,JS divergence average,0.515088288,Shannon Entropy average,,2.129022372,Sum of Pairs Average,,16,0.308544933,1.399159165,6
0.643472454,JS divergence average,0.422990074,Shannon Entropy average,,1.263244963,Sum of Pairs Average,,6,0.046834623,1.133310289,6
0.700908946,JS divergence average,0.600366667,Shannon Entropy average,,2.519207623,Sum of Pairs Average,,5,0.359761333,0.776569164,6
0.679001577,JS divergence average,0.590642577,Shannon Entropy average,,2.272996462,Sum of Pairs Average,,,,,
0.604519534,JS divergence average,0.383856304,Shannon Entropy average,,0.241390466,Sum of Pairs Average,,,,,
0.652966856,JS divergence average,0.491483783,Shannon Entropy average,,1.947136478,Sum of Pairs Average,,,,,
0.669313946,JS divergence average,0.556703306,Shannon Entropy average,,2.257241715,Sum of Pairs Average,,,,,
0.603907371,JS divergence average,0.458832712,Shannon Entropy average,,1.645200311,Sum of Pairs Average,,,,,
0.628481664,JS divergence average,0.421099464,Shannon Entropy average,,1.161013734,Sum of Pairs Average,,,,,
0.694118943,JS divergence average,0.573816512,Shannon Entropy average,,2.131995412,Sum of Pairs Average,,,,,
0.651383269,JS divergence average,0.418095772,Shannon Entropy average,,1.304886426,Sum of Pairs Average,,,,,
0.717591504,JS divergence average,0.630952458,Shannon Entropy average,,2.848933532,Sum of Pairs Average,,,,,
0.73617,JS divergence pathogenic,0.721426667,Shannon Entropy pathogenic,,3.57666,Sum of Pairs Pathogenic,,,,,
0.746659375,JS divergence pathogenic,0.722626875,Shannon Entropy pathogenic,,3.232257813,Sum of Pairs Pathogenic,,,,,
0.8151225,JS divergence pathogenic,0.8450225,Shannon Entropy pathogenic,,4.4895,Sum of Pairs Pathogenic,,,,,
0.761234,JS divergence pathogenic,0.742072,Shannon Entropy pathogenic,,3.97357,Sum of Pairs Pathogenic,,,,,
0.79683,JS divergence pathogenic,0.881895,Shannon Entropy pathogenic,,4.41962,Sum of Pairs Pathogenic,,,,,
0.677150909,JS divergence pathogenic,0.551800909,Shannon Entropy pathogenic,,2.140736364,Sum of Pairs Pathogenic,,,,,
0.790993333,JS divergence pathogenic,0.756407778,Shannon Entropy pathogenic,,4.506684444,Sum of Pairs Pathogenic,,,,,
0.672765714,JS divergence pathogenic,0.481942857,Shannon Entropy pathogenic,,2.202531429,Sum of Pairs Pathogenic,,,,,
0.750814,JS divergence pathogenic,0.707896,Shannon Entropy pathogenic,,3.786232,Sum of Pairs Pathogenic,,,,,
0.758066667,JS divergence pathogenic,0.753986667,Shannon Entropy pathogenic,,3.381141667,Sum of Pairs Pathogenic,,,,,
0.639126667,JS divergence pathogenic,0.43662,Shannon Entropy pathogenic,,0.860836667,Sum of Pairs Pathogenic,,,,,
0.7443775,JS divergence pathogenic,0.676985,Shannon Entropy pathogenic,,3.4855975,Sum of Pairs Pathogenic,,,,,
0.638626667,JS divergence pathogenic,0.439896667,Shannon Entropy pathogenic,,1.393406667,Sum of Pairs Pathogenic,,,,,
0.80958,JS divergence pathogenic,0.883616667,Shannon Entropy pathogenic,,4.608973333,Sum of Pairs Pathogenic,,,,,
0.753785,JS divergence pathogenic,0.66664,Shannon Entropy pathogenic,,3.6575,Sum of Pairs Pathogenic,,,,,
0.70308,JS divergence pathogenic,0.48802,Shannon Entropy pathogenic,,1.90201,Sum of Pairs Pathogenic,,,,,
0.73964,JS divergence pathogenic,0.65695,Shannon Entropy pathogenic,,3.26623,Sum of Pairs Pathogenic,,,,,
0.798626512,JS divergence pathogenic,0.754372093,Shannon Entropy pathogenic,,4.108284884,Sum of Pairs Pathogenic,,,,,
0.71405,JS divergence pathogenic,0.579486154,Shannon Entropy pathogenic,,2.886237692,Sum of Pairs Pathogenic,,,,,
0.76858,JS divergence pathogenic,0.68284875,Shannon Entropy pathogenic,,3.46729125,Sum of Pairs Pathogenic,,,,,
0.783983077,JS divergence pathogenic,0.735603077,Shannon Entropy pathogenic,,3.510229231,Sum of Pairs Pathogenic,,,,,
0.654655,JS divergence pathogenic,0.412605,Shannon Entropy pathogenic,,1.719555,Sum of Pairs Pathogenic,,,,,
0.8225,JS divergence pathogenic,0.8740125,Shannon Entropy pathogenic,,4.36084,Sum of Pairs Pathogenic,,,,,
0.743051667,JS divergence pathogenic,0.612078333,Shannon Entropy pathogenic,,3.529541667,Sum of Pairs Pathogenic,,,,,
0.720857143,JS divergence pathogenic,0.640397143,Shannon Entropy pathogenic,,3.025374286,Sum of Pairs Pathogenic,,,,,
0.731106333,JS divergence pathogenic,0.712354,Shannon Entropy pathogenic,,3.676851833,Sum of Pairs Pathogenic,,,,,
0.79092,JS divergence pathogenic,0.69687,Shannon Entropy pathogenic,,5.05221,Sum of Pairs Pathogenic,,,,,
0.767675,JS divergence pathogenic,0.701715,Shannon Entropy pathogenic,,4.13785,Sum of Pairs Pathogenic,,,,,
0.710993333,JS divergence pathogenic,0.573473333,Shannon Entropy pathogenic,,2.443186667,Sum of Pairs Pathogenic,,,,,
0.671766667,JS divergence pathogenic,0.417286667,Shannon Entropy pathogenic,,1.320613333,Sum of Pairs Pathogenic,,,,,
0.730472857,JS divergence pathogenic,0.46882,Shannon Entropy pathogenic,,2.093558571,Sum of Pairs Pathogenic,,,,,
0.824376667,JS divergence pathogenic,0.83026,Shannon Entropy pathogenic,,4.290256667,Sum of Pairs Pathogenic,,,,,
0.6894,JS divergence pathogenic,0.420326,Shannon Entropy pathogenic,,2.131108,Sum of Pairs Pathogenic,,,,,
0.768729,JS divergence pathogenic,0.58189,Shannon Entropy pathogenic,,3.172774,Sum of Pairs Pathogenic,,,,,
0.780980909,JS divergence pathogenic,0.694311818,Shannon Entropy pathogenic,,3.3665,Sum of Pairs Pathogenic,,,,,
0.74953875,JS divergence pathogenic,0.7256275,Shannon Entropy pathogenic,,3.064365,Sum of Pairs Pathogenic,,,,,
0.67256,JS divergence pathogenic,0.433645,Shannon Entropy pathogenic,,2.40251,Sum of Pairs Pathogenic,,,,,
0.792928571,JS divergence pathogenic,0.82915,Shannon Entropy pathogenic,,4.631244286,Sum of Pairs Pathogenic,,,,,
0.797951429,JS divergence pathogenic,0.644334286,Shannon Entropy pathogenic,,3.855524286,Sum of Pairs Pathogenic,,,,,
0.764,JS divergence pathogenic,0.57004,Shannon Entropy pathogenic,,2.082865,Sum of Pairs Pathogenic,,,,,
0.684576667,JS divergence pathogenic,0.550093333,Shannon Entropy pathogenic,,1.232523333,Sum of Pairs Pathogenic,,,,,
0.68817,JS divergence pathogenic,0.63455,Shannon Entropy pathogenic,,2.07226,Sum of Pairs Pathogenic,,,,,
0.68607,JS divergence pathogenic,0.4842,Shannon Entropy pathogenic,,2.10368,Sum of Pairs Pathogenic,,,,,
0.625934,JS divergence pathogenic,0.38658,Shannon Entropy pathogenic,,1.498976,Sum of Pairs Pathogenic,,,,,
0.750097778,JS divergence pathogenic,0.73458,Shannon Entropy pathogenic,,3.321947778,Sum of Pairs Pathogenic,,,,,
0.70101,JS divergence pathogenic,0.571103333,Shannon Entropy pathogenic,,1.84722,Sum of Pairs Pathogenic,,,,,
0.590418,JS divergence pathogenic,0.369816,Shannon Entropy pathogenic,,0.25644,Sum of Pairs Pathogenic,,,,,
0.7626825,JS divergence pathogenic,0.7725825,Shannon Entropy pathogenic,,3.489095,Sum of Pairs Pathogenic,,,,,
0.073768418,JS divergence pathogenic,0.631361111,Shannon Entropy pathogenic,,2.555466667,Sum of Pairs Pathogenic,,,,,
0.72972,JS divergence pathogenic,0.62513,Shannon Entropy pathogenic,,2.56745,Sum of Pairs Pathogenic,,,,,
0.753906667,JS divergence pathogenic,0.73769,Shannon Entropy pathogenic,,3.829343333,Sum of Pairs Pathogenic,,,,,
0.7108825,JS divergence pathogenic,0.5985425,Shannon Entropy pathogenic,,2.24086,Sum of Pairs Pathogenic,,,,,
0.729455333,JS divergence pathogenic,0.632977333,Shannon Entropy pathogenic,,2.994520667,Sum of Pairs Pathogenic,,,,,
