Gene Symbol(s),ScENSP,HsENSP52,HsENSP74,HsORFeomeID,HsEntrez,Tet-down CompStatus,Tet-down ToxStatus,TS CompStatus,TS ToxStatus,MM CompStatus,MM ToxStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,Final CompStatus,Final ToxStatus,BayesNet Test Set
MAK16; RBM13; MAK16L,YAL025C,ENSP00000353246,ENSP00000353246,31009@C01,84549,Non complement,Toxic,NA,NA,NA,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
POP5; RPP2; RPP20; hPop5; HSPC004,YAL033W,ENSP00000350098,ENSP00000350098,11027@H04,51367,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
TSEN34; LENG5; PCH2C; SEN34; SEN34L,YAR008W,ENSP00000305524,ENSP00000459387,11009@E10,79042,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RFT1; CDG1N,YBL020W,ENSP00000296292,ENSP00000296292,51016@G11,91869,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
MCM2; BM28; CCNL1; CDCL1; cdc19; D3S3194; MITOTIN,YBL023C,ENSP00000265056,ENSP00000265056,11025@C03,4171,NA,NA,NA,Toxic,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
POLA2,YBL035C,ENSP00000265465,ENSP00000265465,11013@E12,23649,NA,NA,Non complement,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
PSMB1; HC5; PSC5; PMSB1,YBL041W,ENSP00000262193,ENSP00000262193,11030@C03,5689,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
AAR2; CGI-23; C20orf4,YBL074C,ENSP00000380455,ENSP00000380455,11035@B09,25980,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
IARS; IRS; ILRS; IARS1; ILERS; PRO0785,YBL076C,ENSP00000364811,ENSP00000364794,NA,3376,NA,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
CDC27; APC3; HNUC; NUC2; H-NUC; ANAPC3; CDC27Hs; D0S1430E; D17S978E,YBL084C,ENSP00000066544,ENSP00000434614,11078@H11,996,Non complement,NA,Non complement,Toxic,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
NCAPH; BRRN1; CAP-H,YBL097W,ENSP00000240423,ENSP00000240423,31017@G05,23397,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
PRPF6; TOM; ANT1; Prp6; RP60; ANT-1; hPrp6; U5-102K; C20orf14; SNRNP102,YBR055C,ENSP00000266079,ENSP00000266079,71021@C05,24148,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ORC2; ORC2L,YBR060C,ENSP00000234296,ENSP00000234296,11069@G08,4999,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ALG14; CMS15,YBR070C,ENSP00000359224,ENSP00000359224,11046@A12,199857,NA,NA,NA,NA,Non complement,NA,NA,Non complement,Non complement,16100110,Non complement,NA,
EIF3A; EIF3; P167; p180; p185; TIF32; EIF3S10; eIF3-p170; eIF3-theta,YBR079C,ENSP00000358140,ENSP00000358140,51024@H04,8661,Non complement,NA,Non complement,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
PCNA; ATLD2,YBR088C,ENSP00000368458,ENSP00000368438,11030@G03,5111,Non complement,NA,NA,NA,Non complement,Toxic,Non complement,Non complement,NA,NA,Non complement,Toxic,
EXOC8; EXO84; SEC84; Exo84p,YBR102C,ENSP00000353564,ENSP00000353564,11024@C07,149371,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ETF1; ERF; RF1; ERF1; TB3-1; D5S1995; SUP45L1,YBR143C,ENSP00000353741,ENSP00000353741,11010@B01,2107,NA,NA,Non complement,NA,NA,NA,NA,Non complement,Non complement,7556078,Non complement,NA,
TAF5; TAF2D; TAFII100,YBR198C,ENSP00000358854,ENSP00000358854,51026@H05,6877,Non complement,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
MCM7; MCM2; CDC47; P85MCM; P1CDC47; PNAS146; PPP1R104; P1.1-MCM3,YBR202W,ENSP00000307288,ENSP00000307288,11035@C08,4176,Non complement,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
RNMT; MET; Met; CMT1; cm1p; hMet; CMT1c; hCMT1; RG7MT1,YBR236C,ENSP00000372804,ENSP00000466111,71017@C01,8731,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DDX46; Prp5; PRPF5,YBR237W,ENSP00000346236,ENSP00000416534,11079@E08,9879,NA,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
PGS1,YCL004W,ENSP00000262764,ENSP00000262764,31017@B03,9489,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
FTSJ3; SPB1; EPCS3,YCL054W,ENSP00000337518,ENSP00000396673,11013@E02,117246,Non complement,NA,NA,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
PWP2; UTP1; PWP2H; EHOC-17,YCR057C,ENSP00000291576,ENSP00000291576,11079@D06,5822,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
ANAPC11; APC11; Apc11p; HSPC214,YDL008W,ENSP00000383552,ENSP00000458515,71004@H09,51529,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CDC7; Hsk1; CDC7L1; HsCDC7; huCDC7,YDL017W,ENSP00000234626,ENSP00000234626,51021@E06,8317,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,Non complement,22384342,Non complement,NA,
SF3A3; PRP9; PRPF9; SAP61; SF3a60,YDL030W,ENSP00000362110,ENSP00000362110,11012@H01,10946,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
DDX54; DP97,YDL031W,ENSP00000304072,ENSP00000323858,11029@H03,79039,Non complement,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GMPPB; MDDGA14; MDDGB14; MDDGC14,YDL055C,ENSP00000309092,ENSP00000309092,11034@C02,29925,Non complement,Toxic,NA,NA,Non complement,NA,NA,Non complement,Non complement,12559573,Non complement,Toxic,
ZMAT2; Snu23; Ptg-12; hSNU23,YDL098C,ENSP00000274712,ENSP00000274712,31022@F10,153527,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
POLD1; CDC2; MDPL; POLD; CRCS10,YDL102W,ENSP00000375693,ENSP00000472445,11080@D07,5424,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NSMCE4A; NS4EA; NSE4A; C10orf86,YDL105W,ENSP00000358019,ENSP00000358019,11053@G07,54780,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CDK7; CAK1; HCAK; MO15; STK1; CDKN7; p39MO15,YDL108W,ENSP00000256443,ENSP00000256443,11056@F09,1022,NA,NA,Non complement,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,
POLR2A; RPB1; RPO2; POLR2; POLRA; RPBh1; RPOL2; RpIILS; hsRPB1; hRPB220,YDL140C,ENSP00000314949,ENSP00000314949,31038@E05,5430,Non complement,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
CCT4; SRB; Cctd; CCT-DELTA,YDL143W,ENSP00000377958,ENSP00000377958,51012@H11,10575,Non complement,NA,Non complement,Toxic,Non complement,NA,NA,Non complement,NA,NA,Non complement,Toxic,
NOP14; UTP2; NOL14; C4orf9; RES425; RES4-25,YDL148C,ENSP00000315674,ENSP00000405068,31017@D06,8602,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
UTP3; CRL1; CRLZ1; SAS10,YDL153C,ENSP00000254803,ENSP00000254803,11076@D03,57050,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
NUS1; NgBR; C6orf68; TANGO14; MGC:7199,YDL193W,ENSP00000357480,ENSP00000357480,11051@C07,116150,NA,NA,NA,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
GLE1; LCCS; GLE1L; LCCS1; hGLE1,YDL207W,ENSP00000308622,ENSP00000308622,11039@H03,2733,NA,NA,NA,NA,Non complement,Toxic,NA,Non complement,NA,NA,Non complement,Toxic,
GINS1; PSF1,YDR013W,ENSP00000262460,ENSP00000262460,71012@G06,9837,NA,NA,Non complement,NA,Non complement,NA,NA,Non complement,NA,NA,Non complement,NA,
