Gene Symbol(s),ScENSP,HsENSP52,HsENSP74,HsORFeomeID,HsEntrez,Tet-down CompStatus,Tet-down ToxStatus,TS CompStatus,TS ToxStatus,MM CompStatus,MM ToxStatus,Tetrad CompStatus,Assay CompStatus,Lit CompStatus,Literature PMID,Final CompStatus,Final ToxStatus,BayesNet Test Set
EEF1B2; EF1B; EEF1B; EEF1B1,YAL003W,ENSP00000376056,ENSP00000236957,11046@E12,1933,Complement,NA,NA,Toxic,Complement,NA,NA,Complement,NA,NA,Complement,Toxic,
ALG1; HMT1; MT-1; CDG1K; HMAT1; HMT-1; Mat-1; hMat-1,YBR110W,ENSP00000262374,ENSP00000262374,11012@B03,56052,NA,NA,Complement,NA,Complement,NA,Complement,Complement,Complement,"14709599, 14973778, 10704531",Complement,NA,
POLR2E; RPB5; XAP4; RPABC1; hRPB25; hsRPB5,YBR154C,ENSP00000215587,ENSP00000464739,11075@F10,5434,NA,NA,Complement,NA,Non complement,NA,NA,Complement,Non complement,8524256,Complement,NA,
TTC4,YBR155W,ENSP00000360329,ENSP00000360329,11009@D06,7268,Complement,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
DPAGT1; GPT; ALG7; DGPT; G1PT; UAGT; UGAT; CDG1J; CMS13; DPAGT; CDG-Ij; CMSTA2; DPAGT2; D11S366,YBR243C,ENSP00000346142,ENSP00000386597,11035@H06,1798,Complement,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
BYSL; BYSTIN,YBR247C,ENSP00000230340,ENSP00000230340,11054@F11,705,NA,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
DUT; dUTPase,YBR252W,ENSP00000370376,ENSP00000370376,11033@A10,1854,NA,NA,NA,NA,Complement,NA,Complement,Complement,NA,NA,Complement,NA,
TRAPPC2B;SEDLP; MIP-2A; SEDLP1; TRAPPC2P1,YBR254C,ENSP00000352708,ENSP00000392495,11042@D09,10597,Complement,NA,NA,NA,Complement,NA,NA,Complement,Complement,14597397,Complement,NA,
POP4; RPP29,YBR257W,ENSP00000221770,ENSP00000465213,11046@C10,10775,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
KDSR;DHSR; FVT1; SDR35C1,YBR265W,ENSP00000385083,ENSP00000385083,11055@E03,2531,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,15328338,Complement,NA,
KRR1; HRB2; RIP-1,YCL059C,ENSP00000229214,ENSP00000229214,11059@C06,11103,NA,NA,Complement,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
PSMC1; S4; p56; P26S4,YDL007W,ENSP00000261303,ENSP00000261303,11011@D03,5700,NA,Toxic,Complement,NA,Non complement,NA,Non complement,Complement,NA,NA,Complement,Toxic,
UBE2I; P18; UBC9; C358B7.1,YDL064W,ENSP00000384361,ENSP00000384361,11073@A12,7329,NA,NA,Complement,NA,Complement,NA,NA,Complement,Complement,8668125,Complement,NA,
VCP; p97; TERA; ALS14; IBMPFD; HEL-220; IBMPFD1; HEL-S-70,YDL126C,ENSP00000351777,ENSP00000351777,51022@G10,7415,Non complement,NA,Complement,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,
HLCS; HCS,YDL141W,ENSP00000338387,ENSP00000338387,31007@A05,3141,NA,NA,NA,NA,Complement,NA,NA,Complement,NA,NA,Complement,NA,
PSMD12; p55; Rpn5,YDL147W,ENSP00000348442,ENSP00000348442,11022@F09,5718,Non complement,NA,Complement,NA,Complement,NA,Complement,Complement,Complement,12559573,Complement,NA,
POLR3D; RPC4; BN51T; RPC53; TSBN51,YDL150W,ENSP00000303088,ENSP00000303088,11060@D05,661,Complement,NA,NA,NA,Non complement,NA,NA,Complement,NA,NA,Complement,NA,
LIG1,YDL164C,ENSP00000263274,ENSP00000263274,51022@F10,3978,NA,NA,Complement,NA,NA,NA,NA,Complement,Complement ,8248134,Complement,NA,
